stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720880907,40090,St Cyprien - République,43.5981,1.4316,0,1970324837184772,1
3377699720880908,6760,St Cyprien - République,43.5986,1.43027,0,1970324837184772,1
3377699720880909,6763,St Cyprien - République,43.5975,1.43093,0,1970324837184772,1
3377699720880910,6766,St Cyprien - Répub. Plce Int.,43.598,1.43149,0,1970324837184772,1
3377699720880911,6764,St Cyprien - République,43.5977,1.42983,0,1970324837184772,1
3377699720880912,6765,St Cyprien - République,43.5979,1.43175,0,1970324837184772,1
3377699720880914,6761,St Cyprien - République,43.5971,1.43122,0,1970324837184772,1
3377699720880940,6840,Palais de Justice,43.5932,1.44495,0,1970324837184792,1
3377699720880942,1413|1417,CHR Rangueil,43.5586,1.45367,0,1970324837184793,1
3377699720880945,2050,Pont Ducuing,43.5631,1.46104,0,1970329131942126,1
3377699720880947,2051,Pont Ducuing,43.5639,1.46128,0,1970329131942126,1
3377699720880948,8030|8032,Ducuing,43.5629,1.46029,0,1970324837184794,1
3377699720880949,8031|8033,Ducuing,43.5628,1.46024,0,1970324837184794,2
3377699720880976,40003,Basso Cambo,43.5701,1.39228,0,1970324837184808,1
3377699720880977,40001,Basso Cambo,43.5701,1.39227,0,1970324837184808,1
3377699720880978,527,Basso Cambo,43.5703,1.39205,0,1970324837184808,1
3377699720880979,523,Basso Cambo,43.5704,1.39248,0,1970324837184808,1
3377699720880980,521,Basso Cambo,43.5706,1.39203,0,1970324837184808,1
3377699720880981,520,Basso Cambo,43.57,1.39249,0,1970324837184808,1
3377699720880983,522,Basso Cambo,43.57,1.39204,0,1970324837184808,1
3377699720880984,525,Basso Cambo,43.5693,1.39215,0,1970324837184808,1
3377699720880985,40041,Bagatelle,43.5799,1.41238,0,1970324837184809,1
3377699720880986,40040,Bagatelle,43.5799,1.41235,0,1970324837184809,1
3377699720880988,423,Bagatelle,43.5802,1.41168,0,1970324837184809,1
3377699720880989,420,Bagatelle,43.5797,1.41181,0,1970324837184809,1
3377699720880990,40121,Jean Jaurès,43.6056,1.4485,0,1970324837184810,1
3377699720880991,40120,Jean Jaurès,43.6057,1.44852,0,1970324837184810,1
3377699720880992,3673,Jean Jaurès,43.6063,1.44932,0,1970324837184810,1
3377699720880993,36011|3672,Jean Jaurès,43.6062,1.44964,0,1970324837184810,1
3377699720880994,3671,Jean Jaurès,43.606,1.44847,0,1970324837184810,1
3377699720881006,40111,Capitole,43.6047,1.44547,0,1970324837184814,1
3377699720881007,40110,Capitole,43.6047,1.44547,0,1970324837184814,1
3377699720881048,5271,"Patte d'Oie",43.5965,1.42382,0,1970324837184827,1
3377699720881049,5270,"Patte d'Oie",43.5965,1.42327,0,1970324837184827,1
3377699720881051,40081,"Patte d'Oie",43.5965,1.42314,0,1970324837184827,1
3377699720881052,40080,"Patte d'Oie",43.5965,1.42315,0,1970324837184827,1
3377699720881100,3950,Auguste Gratian,43.6696,1.41079,0,1970324837184847,2
3377699720881101,3951,Auguste Gratian,43.6685,1.41114,0,1970324837184847,2
3377699720881127,491,Barrière de Lombez,43.5952,1.41939,0,1970324837184867,1
3377699720881129,6290,Roquemaurel,43.595,1.41524,0,1970324837184868,2
3377699720881133,290,Av. de Lombez,43.5944,1.41198,0,1970324837184870,1
3377699720881134,291,Av. de Lombez,43.5945,1.41317,0,1970324837184870,2
3377699720881135,3441,Hippodrome,43.5935,1.40714,0,1970324837184871,1
3377699720881136,3440,Hippodrome,43.5937,1.40831,0,1970324837184871,1
3377699720881137,1440,Brombach,43.593,1.40406,0,1970324837184872,2
3377699720881138,1441,Brombach,43.593,1.40467,0,1970324837184872,1
